 

stn;time;prestas0
ATT;202406010000;727.3
ATT;202406010010;727.3
ATT;202406010020;727.3
ATT;202406010030;727.2
ATT;202406010040;727.2
ATT;202406010050;727.2
ATT;202406010100;727.2
ATT;202406010110;727.1
ATT;202406010120;727.1
ATT;202406010130;727.0
ATT;202406010140;726.9
ATT;202406010150;726.9
ATT;202406010200;726.9
ATT;202406010210;726.9
ATT;202406010220;726.9
ATT;202406010230;726.9
ATT;202406010240;726.9
ATT;202406010250;726.8
ATT;202406010300;726.8
ATT;202406010310;726.7
ATT;202406010320;726.7
ATT;202406010330;726.7
ATT;202406010340;726.7
ATT;202406010350;726.8
ATT;202406010400;726.8
ATT;202406010410;726.8
ATT;202406010420;726.9
ATT;202406010430;726.9
ATT;202406010440;727.0
ATT;202406010450;727.0
ATT;202406010500;727.0
ATT;202406010510;727.1
ATT;202406010520;727.0
ATT;202406010530;727.1
ATT;202406010540;727.1
ATT;202406010550;727.3
ATT;202406010600;727.3
ATT;202406010610;727.3
ATT;202406010620;727.3
ATT;202406010630;727.5
ATT;202406010640;727.6
ATT;202406010650;727.7
ATT;202406010700;727.8
ATT;202406010710;727.8
ATT;202406010720;727.8
ATT;202406010730;727.9
ATT;202406010740;727.9
ATT;202406010750;727.9
ATT;202406010800;728.0
ATT;202406010810;728.0
ATT;202406010820;728.0
ATT;202406010830;728.1
ATT;202406010840;728.3
ATT;202406010850;728.3
ATT;202406010900;728.3
ATT;202406010910;728.4
ATT;202406010920;728.5
ATT;202406010930;728.5
ATT;202406010940;728.6
ATT;202406010950;728.7
ATT;202406011000;728.8
ATT;202406011010;728.8
ATT;202406011020;728.9
ATT;202406011030;728.9
ATT;202406011040;729.0
ATT;202406011050;729.0
ATT;202406011100;729.1
ATT;202406011110;729.2
ATT;202406011120;729.3
ATT;202406011130;729.3
ATT;202406011140;729.4
ATT;202406011150;729.4
ATT;202406011200;729.4
ATT;202406011210;729.4
ATT;202406011220;729.5
ATT;202406011230;729.6
ATT;202406011240;729.6
ATT;202406011250;729.7
ATT;202406011300;729.7
ATT;202406011310;729.7
ATT;202406011320;729.7
ATT;202406011330;729.8
ATT;202406011340;729.8
ATT;202406011350;729.8
ATT;202406011400;729.9
ATT;202406011410;729.9
ATT;202406011420;729.9
ATT;202406011430;730.0
ATT;202406011440;730.0
ATT;202406011450;730.0
ATT;202406011500;730.0
ATT;202406011510;730.0
ATT;202406011520;730.0
ATT;202406011530;730.0
ATT;202406011540;730.0
ATT;202406011550;730.0
ATT;202406011600;730.0
ATT;202406011610;730.0
ATT;202406011620;730.0
ATT;202406011630;730.1
ATT;202406011640;730.1
ATT;202406011650;730.2
ATT;202406011700;730.2
ATT;202406011710;730.3
ATT;202406011720;730.4
